in s,C1 in V,C2 in V,C3 in V,C4 in V
-4.4883056E-02,4.57031E-03,-2.04297E-01,-4.88281E-04,-1.91016E-02
-4.4882368E-02,4.57031E-03,-1.06641E-01,-2.44141E-03,1.01953E-02
-4.4881680E-02,-1.49609E-02,-2.04297E-01,-2.44141E-03,-9.33594E-03
-4.4880992E-02,-1.49609E-02,-3.01953E-01,-2.44141E-03,5.90234E-02
-4.4880304E-02,-5.19531E-03,-3.01953E-01,-2.44141E-03,5.90234E-02
-4.4879616E-02,-4.42578E-02,-3.01953E-01,-4.88281E-04,2.97266E-02
-4.4878928E-02,-5.19531E-03,-1.06641E-01,-2.44141E-03,2.97266E-02
-4.4878240E-02,-5.19531E-03,-8.98437E-03,-1.46484E-03,1.01953E-02
-4.4877552E-02,4.36328E-02,2.83984E-01,-2.44141E-03,2.97266E-02
-4.4876864E-02,1.43359E-02,4.79297E-01,-1.46484E-03,1.01953E-02
-4.4876176E-02,2.41016E-02,-8.98437E-03,-4.88281E-04,1.99609E-02
-4.4875488E-02,2.41016E-02,-1.06641E-01,-4.39453E-03,4.29687E-04
-4.4874800E-02,4.57031E-03,-8.98437E-03,-2.44141E-03,1.01953E-02
-4.4874112E-02,4.57031E-03,-4.97266E-01,-2.44141E-03,1.99609E-02
-4.4873424E-02,-5.19531E-03,-3.99609E-01,-2.44141E-03,2.97266E-02
-4.4872736E-02,-4.42578E-02,-3.01953E-01,-3.41797E-03,1.99609E-02
-4.4872048E-02,-5.19531E-03,-3.01953E-01,-4.88281E-04,3.94922E-02
-4.4871360E-02,-5.19531E-03,-2.04297E-01,-3.41797E-03,3.94922E-02
-4.4870672E-02,-5.19531E-03,-2.04297E-01,-1.46484E-03,1.99609E-02
-4.4869984E-02,1.43359E-02,-1.06641E-01,-2.44141E-03,2.97266E-02
-4.4869296E-02,-5.19531E-03,-3.01953E-01,-1.46484E-03,4.92578E-02
-4.4868608E-02,1.43359E-02,-2.04297E-01,-1.46484E-03,4.29687E-04
-4.4867920E-02,-5.19531E-03,-3.01953E-01,-4.88281E-04,3.94922E-02
-4.4867232E-02,-5.19531E-03,-4.97266E-01,-4.39453E-03,1.99609E-02
-4.4866544E-02,2.41016E-02,1.86328E-01,-1.46484E-03,1.99609E-02
-4.4865856E-02,-5.19531E-03,-1.06641E-01,-4.39453E-03,2.97266E-02
-4.4865168E-02,4.57031E-03,-1.06641E-01,-3.41797E-03,4.29687E-04
-4.4864480E-02,-1.49609E-02,8.86719E-02,-4.88281E-04,1.01953E-02
-4.4863792E-02,1.43359E-02,-2.04297E-01,-2.44141E-03,3.94922E-02
